Found (UTC),Title,Price USD,Seller feedback,Ships from,Sold /30d,# sellers,Match,eBay link
2026-07-09 12:04 UTC,Dualit Classic 2-Slice Toaster Metallic Charcoal Stainless Steel (New Gen),199.0,455,"Omaha, Nebraska, United States",80,4,title,https://www.ebay.com/itm/327208537796
2026-07-09 12:04 UTC,Cuisinart 7-Cup 500W Food Processor Brushed Stainless Steel DFP-7BC,189.5,19,"Stuart, Florida, United States",75,2,title,https://www.ebay.com/itm/127916869434
2026-07-09 12:04 UTC,"Dualit 3 slice Stainless Steel Toaster, Silver Finish, Timer, 4 Settings",200.0,55,"Hooksett, New Hampshire, United States",56,1,title,https://www.ebay.com/itm/178285293472
2026-07-09 12:04 UTC,"ULTIMEA 7.1 Dolby Atmos Soundbar with 6.5"" Wireless Subwoofer 460W, Poseidon D80",249.99,221,"Ontario, California, United States",30,1,title,https://www.ebay.com/itm/318430599038
2026-07-09 12:04 UTC,Breville Smart Convection Toaster Oven Pro with Light-Williams Sonoma|43541,209.99,122,"US official store, Vietnam",29,3,title,https://www.ebay.com/itm/298373583829
2026-07-09 12:04 UTC,Epson Home Cinema 880 3LCD Projector - 600 Lamp Hours with Ceiling Mount,344.88,301,"Salt Lake City, Utah, United States",26,2,title,https://www.ebay.com/itm/127912765713
2026-07-09 12:04 UTC,Vintage Proctor-Silex Blue Goose Toaster Cottagecore Kitchen Decor Tested&Works,150.0,1,"Andrews AFB, Maryland, United States",19,2,title,https://www.ebay.com/itm/127964578537
2026-07-09 12:04 UTC,INTASTING Gooseneck Electric Kettle 1500W 0.9L ±1℉ Temp Control Stainless Steel,197.59,14,"Union City, Georgia, United States",15,2,title,https://www.ebay.com/itm/227415336682
2026-07-09 12:04 UTC,Multifunction 26 Qt. White Air Fryer Toaster Oven Retro Countertop Compact Micro,215.97,44,"Denver, Colorado, United States",15,2,title,https://www.ebay.com/itm/318423217689
2026-07-09 12:04 UTC,"ULTIMEA Poseidon D80 7.1 Dolby Atmos Soundbar with 6.5"" Wireless Subwoofer 460W",249.99,221,"Ontario, California, United States",14,1,title,https://www.ebay.com/itm/318435222987
2026-07-09 12:04 UTC,"1L Digital Gooseneck Electric Kettle - Variable Temp, 6 Preset Settings, 1200W,",199.99,2,"Utica, Michigan, United States",13,4,title,https://www.ebay.com/itm/236919823002
2026-07-09 12:04 UTC,"Dualit 2 Slice Newgen Toaster Chrome LIGHTLY USED, NO BOX",180.0,47,"Scarsdale, New York, United States",10,2,title,https://www.ebay.com/itm/377326306279
2026-07-09 12:04 UTC,Simplex Copper Tea Kettle 1.9L Black Handle Patent Gas/Electric,199.99,21,"Norwood, Massachusetts, United States",7,1,title,https://www.ebay.com/itm/318385446553
2026-07-09 12:04 UTC,"*BRAND NEW IN BOX* Breville Toast Select Luxe 2 Slice Toaster, Almond Nougat",165.0,18,"Tifton, Georgia, United States",6,4,title,https://www.ebay.com/itm/398107930354
